Set,Price_Euro,Pieces,Minifigs
Corner Garage,179.99,2569,6 (6 unique to this set)
Ford Mustang,169.99,1471,
NASA Apollo 11 Lunar Lander,99.99,1087,2 (2 unique to this set)
Gingerbread House,89.99,1477,2 (2 unique to this set)
Harley-Davidson Fat Boy,89.99,1023,
Woody & RC,9.74,69,1
Duke Caboom's Stunt Show,19.49,120,2 (1 unique to this set)
Buzz and Bo Peep's Playground Adventure,24.36,139,3 (1 unique to this set)
RV Vacation,34.11,178,3 (2 unique to this set)
Buzz & Woody's Carnival Mania!,49.99,230,5 (3 unique to this set)
Carnival Thrill Coaster,19.49,98,2
My First Tow Truck,9.74,11,
My First Balancing Animals,14.61,15,
My First Fun Puzzle,19.49,15,
My First Car Creations,19.99,34,
Creative Fun,34.99,120,1
Mickey's Vacation House,48.73,57,3 (2 unique to this set)
Spider-Man vs. Electro,19.99,29,2 (1 unique to this set)
Toy Story Train,19.99,21,2 (2 unique to this set)
Emmet and Lucy's Visitors from the DUPLO Planet,29.99,53,2 (2 unique to this set)
My First Minnie Build,9.99,10,
My First Mickey Build,9.74,9,
Frozen Ice Castle,49.99,59,3 (1 unique to this set)
Police Bike,9.99,8,1 (1 unique to this set)
Fire Truck,19.99,21,2 (1 unique to this set)
Police Station,29.99,38,3 (2 unique to this set)
Fire Station,49.99,76,2
Baby Animals,9.74,9,
Tropical Island,59.99,73,3 (1 unique to this set)
World Animals,99.99,121,6 (3 unique to this set)
Plane,9.99,12,1 (1 unique to this set)
Submarine Adventure,19.99,24,2
Bricks and Ideas,9.99,123,
Basic Brick Set,19.99,300,
Bricks and Eyes,29.23,451,
Windows of Creativity,29.23,450,
Creative Fun,34.11,900,
Star Wars: Build Your Own Adventure Galactic Missions parts,NaN,66,1
The Book of Bedtime Builds parts,NaN,68,
Harry Potter: Build Your Own Adventure parts,NaN,101,1
Christmas Ideas parts,NaN,41,
Wooden Minifigure parts,NaN,29,
San Francisco,49.99,565,
Paris,49.99,649,
Trafalgar Square,79.99,1197,
Empire State Building,99.99,1767,
Burj Khalifa,39.99,333,
Minecraft Steve BigFig with Parrot,14.99,159,
Minecraft Alex BigFig with Chicken,14.99,160,
Minecraft Skeleton BigFig with Magma Cube,14.99,142,
The End Battle,19.99,222,2 (2 unique to this set)
The Pirate Ship Adventure,49.99,386,3 (2 unique to this set)
The Wool Farm,19.99,260,1
The Blaze Bridge,39.99,372,4 (3 unique to this set)
The Creeper Mine,79.99,834,4 (2 unique to this set)
The Flintstones,58.48,748,4 (4 unique to this set)
Steamboat Willie,87.72,751,2 (2 unique to this set)
Tree House,249.99,3036,4 (4 unique to this set)
Central Perk,79.99,1070,7 (7 unique to this set)
Dinosaur Fossils,59.99,910,2 (2 unique to this set)
My First Duck,NaN,6,
Town Rescue - {Random Bag},NaN,NaN,
Town Rescue - Bird,NaN,NaN,
Town Rescue - Fireman,NaN,NaN,
Town Rescue - Cat,NaN,NaN,
Town Rescue - Policewoman,NaN,NaN,
Town Rescue - Dog,NaN,NaN,
Emmet's 'Piece' Offering,3.99,44,1
Fire ATV,NaN,39,1
Sky Police Jetpack,NaN,33,2 (1 unique to this set)
Race Boat,3.99,34,1 (1 unique to this set)
Popcorn Cart,NaN,43,1 (1 unique to this set)
Space Satellite,NaN,36,1 (1 unique to this set)
Naboo Starfighter,NaN,48,
Snowspeeder,NaN,49,
Minecraft Steve and Creeper Set,NaN,36,2
Tulips,NaN,90,
Emma's Bumper Cars,3.99,66,1 (1 unique to this set)
Mia's Water Fun,NaN,28,1 (1 unique to this set)
Spider-Man's Mini Spider Crawler,NaN,73,1
Iron Man and Dum-E,NaN,38,1 (1 unique to this set)
Rex's Plantimal Ambush,3.89,32,1 (1 unique to this set)
Podracer,NaN,58,
Lucy vs. Alien Invader,NaN,44,1
Mini Master-Building MetalBeard,NaN,42,1 (1 unique to this set)
Mini Master-Building Emmet,3.89,49,1
Sam-X,NaN,56,
Ninja Workout,NaN,31,1 (1 unique to this set)
Fire Flight,NaN,54,1
Fish Free Builds - Make It Yours,NaN,39,
Elsa's Winter Throne,3.99,42,1
Pelican,3.89,62,
Race Car,3.99,68,
Santa,NaN,67,
Star-Stuck Emmet,NaN,41,1 (1 unique to this set)
SHAZAM!,NaN,5,1 (1 unique to this set)
Obi-Wan Kenobi - Collectable Minifigure,NaN,12,1 (1 unique to this set)
Futuristic Flyer,14.61,157,
Dune Buggy,12.66,147,
Deep Sea Creatures,14.99,230,
Sunset Track Racer,19.99,221,
Underwater Robot,19.99,207,
Shuttle Transporter,24.36,341,
Helicopter Adventure,9.74,114,
Riverside Houseboat,29.99,396,2 (2 unique to this set)
Race Plane,29.23,333,1 (1 unique to this set)
Fairground Carousel,48.73,595,3 (3 unique to this set)
Twin-Rotor Helicopter,48.73,569,1 (1 unique to this set)
Townhouse Pet Shop & Café,79.99,969,3 (3 unique to this set)
Outback Cabin,29.23,305,2 (2 unique to this set)
Year of the Pig,NaN,152,
MSC Cruises,NaN,181,
Jet Fighter,NaN,23,
Caterpillar,NaN,48,
Viking Ship,NaN,54,
Ladybird,NaN,27,
Crane,NaN,64,
Frog,NaN,39,
Ice Cream Truck,NaN,48,
Racing Car,NaN,50,
Eagle,NaN,56,
UFO,NaN,36,
Wolf,NaN,47,
Penguin,NaN,47,
Battle of Hoth - 20th Anniversary Edition,NaN,195,
Avengers Tower,NaN,211,1 (1 unique to this set)
Space Rocket Ride,NaN,154,1 (1 unique to this set)
Newbury Juice Bar,NaN,127,2 (1 unique to this set)
Microscale Gingerbread House,19.48,499,
Christmas Tree,NaN,392,
Sea Accessories,3.99,24,
NINJAGO Minifigure Set,12.99,59,4 (3 unique to this set)
Spider-Man and the Museum Break-In,14.61,49,3 (2 unique to this set)
Summer Celebration Minifigure Pack,12.99,45,4 (4 unique to this set)
Mars Exploration Minifigure Pack,12.66,44,4 (2 unique to this set)
LEGOLAND® Park,NaN,1336,11 (10 unique to this set)
LEGOLAND® Driving School Cars,NaN,209,4 (4 unique to this set)
Birthday Clown,9.99,150,
Valentine's Puppy,9.99,147,
Easter Chick,9.99,120,
Halloween Ghost,9.74,136,
Thanksgiving Scarecrow,9.99,177,
"Reindeer, Elf and Elfie",19.99,281,
Dragon Dance Guy,9.99,170,
LEGO House Exclusive Minifigure 2019,NaN,7,1 (1 unique to this set)
LEGO Store Picture Frame,14.99,170,1 (1 unique to this set)
Name Sign,9.99,91,
Olaf's Traveling Sleigh,NaN,97,1
Battle of Endor,NaN,197,
LEGO House Dinosaurs,NaN,864,
Lady Liberty,9.99,153,
Xmas Accessories,3.99,32,1 (1 unique to this set)
Rebuild the World minifigure,NaN,6,
1989 Batmobile - Limited Edition,NaN,366,
Reindeer,NaN,77,
Plants from Plants,NaN,29,
Jasmine's Petite Tower,9.99,49,1 (1 unique to this set)
Cinderella's Carriage Ride,19.99,91,1
Ariel's Castle,24.99,115,1 (1 unique to this set)
